ts_event,open,high,low,close,volume
2025-08-01 19:30:00+00:00,203.59,204.32,202.65,203.12,1692568
2025-08-01 20:30:00+00:00,203.12,203.24,202.17,202.34,9168285
2025-08-04 13:30:00+00:00,204.46,204.99,204.17,204.415,885456
2025-08-04 14:30:00+00:00,204.48,206.835,204.37,206.69,2514126
2025-08-04 15:30:00+00:00,206.68,207.87,205.74,205.79,2042861
2025-08-04 16:30:00+00:00,205.77,205.88,203.93,203.97,1169088
2025-08-04 17:30:00+00:00,203.98,204.49,203.87,204.07,952582
2025-08-04 18:30:00+00:00,204.06,204.22,203.37,203.39,922991
2025-08-04 19:30:00+00:00,203.39,203.53,201.82,201.82,1838770
2025-08-04 20:30:00+00:00,201.82,203.45,201.675,203.0,7901347
2025-08-05 13:30:00+00:00,203.47,204.25,203.35,203.45,550428
2025-08-05 14:30:00+00:00,203.43,204.66,202.16,204.57,1953729
2025-08-05 15:30:00+00:00,204.56,205.335,203.91,204.63,1462525
2025-08-05 16:30:00+00:00,204.63,204.69,203.44,203.58,843433
2025-08-05 17:30:00+00:00,203.59,204.17,203.08,204.01,820646
2025-08-05 18:30:00+00:00,204.0,204.3,203.65,203.65,610399
2025-08-05 19:30:00+00:00,203.64,203.97,203.19,203.24,720185
2025-08-05 20:30:00+00:00,203.25,203.4,202.675,202.87,6208796
2025-08-06 13:30:00+00:00,205.61,206.59,205.6,206.55,684368
2025-08-06 14:30:00+00:00,206.53,211.15,206.52,210.88,5038234
2025-08-06 15:30:00+00:00,210.88,214.34,210.64,214.03,3734962
2025-08-06 16:30:00+00:00,214.03,214.99,213.67,214.29,3473580
2025-08-06 17:30:00+00:00,214.285,214.88,213.88,214.53,1690894
2025-08-06 18:30:00+00:00,214.54,215.38,214.09,214.5,2184271
2025-08-06 19:30:00+00:00,214.51,214.8,213.725,213.795,1767420
2025-08-06 20:30:00+00:00,213.795,214.42,212.81,213.11,11750160
2025-08-07 13:30:00+00:00,218.89,219.55,217.02,217.23,1658303
2025-08-07 14:30:00+00:00,217.23,220.32,216.58,218.11,5997818
2025-08-07 15:30:00+00:00,218.105,220.12,217.64,219.54,2823117
2025-08-07 16:30:00+00:00,219.54,220.34,219.5,220.07,2264393
2025-08-07 17:30:00+00:00,220.09,220.21,218.7,218.8,1800048
2025-08-07 18:30:00+00:00,218.81,219.73,218.8,219.25,1072640
2025-08-07 19:30:00+00:00,219.25,220.85,219.24,219.37,1876727
2025-08-07 20:30:00+00:00,219.37,220.23,219.35,220.23,7851439
2025-08-08 13:30:00+00:00,220.86,221.01,220.01,220.43,756531
2025-08-08 14:30:00+00:00,220.4,223.1,219.26,222.98,3261852
2025-08-08 15:30:00+00:00,222.97,224.63,222.63,224.59,2317471
2025-08-08 16:30:00+00:00,224.6,228.39,224.35,228.3,3803980
2025-08-08 17:30:00+00:00,228.31,230.92,227.94,228.89,5787814
2025-08-08 18:30:00+00:00,228.91,230.99,228.83,229.25,2672678
2025-08-08 19:30:00+00:00,229.26,229.87,228.51,228.77,2143100
2025-08-08 20:30:00+00:00,228.765,229.68,228.46,229.29,8352316
2025-08-11 13:30:00+00:00,227.89,228.73,226.7,226.75,1194638
2025-08-11 14:30:00+00:00,226.71,227.3,224.77,226.855,3052776
2025-08-11 15:30:00+00:00,226.855,227.89,226.11,227.52,1298638
2025-08-11 16:30:00+00:00,227.52,229.55,227.52,228.61,1557872
2025-08-11 17:30:00+00:00,228.61,229.09,227.91,228.01,822509
2025-08-11 18:30:00+00:00,227.99,228.19,227.01,227.92,1038720
2025-08-11 19:30:00+00:00,227.92,227.94,227.09,227.57,788694
2025-08-11 20:30:00+00:00,227.57,227.69,226.62,227.19,7600776
2025-08-12 13:30:00+00:00,228.07,229.13,227.93,229.05,878889
2025-08-12 14:30:00+00:00,229.055,229.93,227.09,228.62,2273722
2025-08-12 15:30:00+00:00,228.62,230.585,228.27,228.485,1840170
2025-08-12 16:30:00+00:00,228.5,230.11,228.32,229.86,845007
2025-08-12 17:30:00+00:00,229.86,230.79,229.67,229.69,751377
2025-08-12 18:30:00+00:00,229.69,230.545,229.43,229.43,692819
2025-08-12 19:30:00+00:00,229.43,229.47,228.93,229.15,713055
2025-08-12 20:30:00+00:00,229.14,230.1,229.06,229.61,8479162
2025-08-13 13:30:00+00:00,231.07,232.19,230.84,231.7,885966
2025-08-13 14:30:00+00:00,231.725,232.72,230.42,231.99,3167885
2025-08-13 15:30:00+00:00,231.97,234.55,231.68,232.46,3330506
2025-08-13 16:30:00+00:00,232.45,233.39,232.045,233.08,1288100
2025-08-13 17:30:00+00:00,233.085,233.37,231.57,232.36,920095
2025-08-13 18:30:00+00:00,232.37,234.99,232.035,233.04,1884204
2025-08-13 19:30:00+00:00,233.05,233.91,230.79,233.71,1854411
2025-08-13 20:30:00+00:00,233.71,234.33,233.11,233.84,7944485
2025-08-14 13:30:00+00:00,234.05,234.81,233.77,234.75,1033946
2025-08-14 14:30:00+00:00,234.75,235.12,231.69,232.23,2982146
2025-08-14 15:30:00+00:00,232.2,232.45,230.86,232.13,1542824
2025-08-14 16:30:00+00:00,232.13,232.295,230.92,232.11,851803
2025-08-14 17:30:00+00:00,232.11,233.14,231.97,232.92,704043
2025-08-14 18:30:00+00:00,232.91,233.13,232.33,232.64,644892
2025-08-14 19:30:00+00:00,232.64,233.49,232.44,232.84,1135728
2025-08-14 20:30:00+00:00,232.85,233.53,232.69,232.78,7537702
2025-08-15 13:30:00+00:00,233.73,234.25,233.36,233.435,3781189
2025-08-15 14:30:00+00:00,233.4,233.86,231.57,232.24,1728434
2025-08-15 15:30:00+00:00,232.25,232.26,230.47,231.05,1209900
2025-08-15 16:30:00+00:00,231.05,231.46,230.62,230.75,951039
2025-08-15 17:30:00+00:00,230.75,231.225,230.23,230.65,815466
2025-08-15 18:30:00+00:00,230.65,231.29,229.34,230.88,1206109
2025-08-15 19:30:00+00:00,230.88,231.495,230.475,231.24,805814
2025-08-15 20:30:00+00:00,231.24,231.77,231.04,231.51,11052753
2025-08-18 13:30:00+00:00,231.77,232.55,231.72,231.825,703310
2025-08-18 14:30:00+00:00,231.85,233.13,230.37,230.795,1880455
2025-08-18 15:30:00+00:00,230.8,231.22,230.47,230.79,903610
2025-08-18 16:30:00+00:00,230.76,231.1,230.505,230.72,592767
2025-08-18 17:30:00+00:00,230.72,231.25,230.115,231.25,625572
2025-08-18 18:30:00+00:00,231.25,231.67,230.9,231.15,558799
2025-08-18 19:30:00+00:00,231.14,231.68,231.1,231.165,693121
2025-08-18 20:30:00+00:00,231.165,231.55,230.88,230.88,6513925
2025-08-19 13:30:00+00:00,231.25,231.61,230.9,230.98,469097
2025-08-19 14:30:00+00:00,230.96,232.87,230.61,231.65,1594645
2025-08-19 15:30:00+00:00,231.67,232.26,230.47,231.18,1134619
2025-08-19 16:30:00+00:00,231.18,231.66,231.06,231.18,563642
2025-08-19 17:30:00+00:00,231.18,231.33,230.06,230.67,736574
2025-08-19 18:30:00+00:00,230.67,230.9,229.87,229.9,592095
2025-08-19 19:30:00+00:00,229.89,230.27,229.36,230.25,827839
2025-08-19 20:30:00+00:00,230.25,230.69,229.99,230.56,6867347
2025-08-20 13:30:00+00:00,229.97,230.46,229.25,229.61,560385
2025-08-20 14:30:00+00:00,229.58,230.01,226.49,226.52,2299665
2025-08-20 15:30:00+00:00,226.51,227.55,226.11,227.13,1080438
2025-08-20 16:30:00+00:00,227.13,227.37,226.41,227.01,801216
2025-08-20 17:30:00+00:00,227.01,227.02,225.89,226.32,767770
2025-08-20 18:30:00+00:00,226.33,226.83,225.77,226.05,673949
2025-08-20 19:30:00+00:00,226.07,226.73,225.88,226.41,654474
2025-08-20 20:30:00+00:00,226.4,227.0,225.91,225.92,6066640
2025-08-21 13:30:00+00:00,226.38,226.53,225.24,225.275,550111
2025-08-21 14:30:00+00:00,225.26,226.33,224.68,225.535,1261243
2025-08-21 15:30:00+00:00,225.53,225.54,224.51,225.26,906105
2025-08-21 16:30:00+00:00,225.25,225.835,224.785,224.94,706641
2025-08-21 17:30:00+00:00,224.94,225.01,223.79,224.2,814939
2025-08-21 18:30:00+00:00,224.2,224.78,224.1,224.205,591772
